,Identifier,Epoch,Tile,Subtile,Version,SignalURL,RMSURL,obsTime,OBSRA,OBSDEC
0,VLASS1.1.T01t09.J040228-363000,VLASS1.1,T01t09,J040228-363000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t09.J040228-363000.10.2048.v1/VLASS1.1.ql.T01t09.J040228-363000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t09.J040228-363000.10.2048.v1/VLASS1.1.ql.T01t09.J040228-363000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
1,VLASS1.1.T01t09.J042731-373000,VLASS1.1,T01t09,J042731-373000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t09.J042731-373000.10.2048.v1/VLASS1.1.ql.T01t09.J042731-373000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t09.J042731-373000.10.2048.v1/VLASS1.1.ql.T01t09.J042731-373000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
2,VLASS1.1.T01t09.J042741-383000,VLASS1.1,T01t09,J042741-383000,v2,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t09.J042741-383000.10.2048.v2/VLASS1.1.ql.T01t09.J042741-383000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t09.J042741-383000.10.2048.v2/VLASS1.1.ql.T01t09.J042741-383000.10.2048.v2.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
3,VLASS1.1.T01t11.J052214-363000,VLASS1.1,T01t11,J052214-363000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t11.J052214-363000.10.2048.v1/VLASS1.1.ql.T01t11.J052214-363000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t11.J052214-363000.10.2048.v1/VLASS1.1.ql.T01t11.J052214-363000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
4,VLASS1.1.T01t24.J114745-383000,VLASS1.1,T01t24,J114745-383000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t24.J114745-383000.10.2048.v1/VLASS1.1.ql.T01t24.J114745-383000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t24.J114745-383000.10.2048.v1/VLASS1.1.ql.T01t24.J114745-383000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
5,VLASS1.1.T01t30.J145232-373000,VLASS1.1,T01t30,J145232-373000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t30.J145232-373000.10.2048.v1/VLASS1.1.ql.T01t30.J145232-373000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t30.J145232-373000.10.2048.v1/VLASS1.1.ql.T01t30.J145232-373000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
6,VLASS1.1.T01t30.J145731-373000,VLASS1.1,T01t30,J145731-373000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t30.J145731-373000.10.2048.v1/VLASS1.1.ql.T01t30.J145731-373000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t30.J145731-373000.10.2048.v1/VLASS1.1.ql.T01t30.J145731-373000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
7,VLASS1.1.T01t31.J150234-393000,VLASS1.1,T01t31,J150234-393000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t31.J150234-393000.10.2048.v1/VLASS1.1.ql.T01t31.J150234-393000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T01t31.J150234-393000.10.2048.v1/VLASS1.1.ql.T01t31.J150234-393000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
8,VLASS1.1.T02t26.J125556-323000,VLASS1.1,T02t26,J125556-323000,v1,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T02t26.J125556-323000.10.2048.v1/VLASS1.1.ql.T02t26.J125556-323000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T02t26.J125556-323000.10.2048.v1/VLASS1.1.ql.T02t26.J125556-323000.10.2048.v1.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
9,VLASS1.1.T02t26.J125909-323000,VLASS1.1,T02t26,J125909-323000,v2,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T02t26.J125909-323000.10.2048.v2/VLASS1.1.ql.T02t26.J125909-323000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits,https://archive-new.nrao.edu/vlass/quicklook/VLASS1.1v2/QA_REJECTED/VLASS1.1.ql.T02t26.J125909-323000.10.2048.v2/VLASS1.1.ql.T02t26.J125909-323000.10.2048.v2.I.iter1.image.pbcor.tt0.rms.subim.fits,,,
